GrLivArea,OverallQual,GarageCars,TotalBsmtSF,FullBath,SalePrice
1346,7,3.0,1336.0,2,220000
1214,7,2.0,1214.0,2,179781
1444,5,2.0,384.0,2,174000
1968,8,3.0,774.0,2,269500
1894,7,2.0,817.0,2,214900
1908,8,2.0,967.0,2,202900
2018,9,3.0,2002.0,2,378500
1264,5,2.0,1068.0,1,169000
1430,5,2.0,1430.0,2,173500
1824,6,0.0,912.0,2,139000
1344,5,2.0,1344.0,2,166500
1092,4,1.0,546.0,1,83500
945,5,1.0,945.0,1,119500
1112,5,1.0,536.0,1,85000
1092,4,0.0,546.0,1,76000
630,4,0.0,630.0,1,75500
1092,4,0.0,546.0,1,88250
1092,4,1.0,546.0,1,85500
874,5,1.0,864.0,1,130000
1188,5,1.0,1188.0,1,157900
833,5,2.0,833.0,1,149900
2432,5,2.0,1216.0,4,159000
1274,5,2.0,624.0,1,136000
1479,5,1.0,864.0,2,161000
1803,8,2.0,1679.0,2,285000
1797,6,2.0,1152.0,2,231000
882,6,1.0,882.0,1,124500
1434,6,2.0,1434.0,2,157000
2704,8,2.0,1952.0,2,345000
1608,6,2.0,945.0,2,189500
2283,8,3.0,1008.0,2,270000
1628,7,2.0,384.0,2,189000
1746,9,3.0,1746.0,2,377500
1474,7,2.0,384.0,2,168500
2522,8,2.0,2208.0,2,375000
1659,8,2.0,1501.0,2,278000
1478,8,2.0,1418.0,2,240000
1734,8,2.0,1587.0,2,239500
1382,7,2.0,384.0,2,177500
1718,7,2.0,832.0,2,185000
1636,6,2.0,952.0,2,191000
1571,6,2.0,799.0,2,178000
1470,6,2.0,680.0,2,185000
1516,6,2.0,707.0,2,181316
1190,6,2.0,1181.0,2,166000
1593,6,2.0,808.0,2,178000
1481,6,2.0,702.0,2,174000
1167,6,2.0,1158.0,2,173000
1983,7,2.0,978.0,2,225000
1442,7,2.0,1424.0,2,180500
1360,8,2.0,1220.0,1,187500
2234,9,3.0,2216.0,2,501837
2046,8,3.0,2046.0,2,372500
1530,7,2.0,1530.0,2,260000
1934,5,2.0,1122.0,2,185000
2353,7,2.0,845.0,2,260000
1586,6,2.0,1362.0,2,181000
1411,7,2.0,1386.0,2,82500
1602,6,2.0,1602.0,2,215000
2050,7,2.0,832.0,2,154000
1671,6,2.0,1427.0,2,200000
2673,7,2.0,1043.0,2,249000
1472,7,2.0,1372.0,2,187500
1707,6,2.0,1140.0,2,184000
2524,8,2.0,2524.0,2,278000
1601,7,2.0,1271.0,2,157000
1370,7,2.0,1090.0,2,152000
1868,5,2.0,780.0,2,197500
1884,7,2.0,926.0,2,240900
1935,8,2.0,832.0,2,263435
1874,8,2.0,1058.0,2,220000
1811,8,2.0,972.0,2,235000
1621,5,2.0,1621.0,2,213000
1116,6,2.0,1116.0,2,167900
1193,7,2.0,1176.0,2,158000
1350,6,2.0,1064.0,2,165000
2119,6,2.0,689.0,2,158000
1792,5,0.0,896.0,2,136000
1002,5,2.0,1002.0,1,148500
1026,6,2.0,1026.0,1,156000
1180,5,2.0,1180.0,1,128000
1050,5,1.0,1043.0,1,143000
864,4,2.0,864.0,1,76500
864,4,2.0,864.0,1,120500
864,4,2.0,864.0,1,124500
864,4,2.0,864.0,1,97000
864,4,2.0,864.0,1,130000
987,6,1.0,483.0,1,111000
1365,5,2.0,765.0,1,125000
1302,5,1.0,630.0,2,112000
987,6,1.0,483.0,1,97000
987,6,1.0,483.0,1,118000
1302,5,1.0,630.0,2,119500
958,6,2.0,958.0,2,143750
1548,6,2.0,804.0,2,146000
1456,6,2.0,855.0,2,148500
1055,7,2.0,1057.0,2,123000
1322,6,2.0,855.0,2,147000
1456,6,2.0,855.0,2,137900
1548,6,2.0,804.0,2,147000
1441,6,2.0,855.0,2,148500
1456,6,2.0,855.0,2,138000
836,7,1.0,836.0,1,128500
892,5,1.0,892.0,1,100000
1120,5,2.0,864.0,1,148800
1718,10,3.0,1700.0,2,337500
2772,9,3.0,1776.0,3,462000
3140,9,3.0,1926.0,3,485000
2402,10,3.0,3094.0,2,555000
1652,9,2.0,1652.0,2,325000
1600,8,3.0,1566.0,2,256300
2042,8,3.0,2042.0,2,253293
2690,9,3.0,1365.0,2,398800
2184,9,3.0,1104.0,2,335000
2020,9,3.0,2020.0,2,404000
2020,10,3.0,2006.0,2,402861
2296,10,3.0,1722.0,2,451950
2674,10,3.0,2630.0,2,610000
2822,9,3.0,1734.0,3,582933
1736,9,3.0,1736.0,2,360000
1782,8,3.0,1782.0,2,296000
2520,8,3.0,1508.0,2,409900
1717,8,3.0,1709.0,2,255500
1743,9,3.0,1739.0,2,335000
1713,8,3.0,1713.0,2,274900
1531,9,3.0,1504.0,2,300000
1808,9,3.0,1774.0,2,324000
2224,9,3.0,1462.0,2,350000
1836,8,3.0,1836.0,2,280000
1629,8,3.0,3206.0,2,284000
1760,7,2.0,1760.0,2,269500
1502,7,2.0,1502.0,2,233170
2392,10,3.0,2392.0,2,386250
2452,9,3.0,2452.0,2,445000
2400,8,3.0,1082.0,3,290000
1606,8,3.0,1598.0,2,255900
1358,6,2.0,1358.0,2,213000
1306,6,2.0,1306.0,2,196000
1306,6,2.0,1306.0,2,184500
1358,7,2.0,1350.0,2,212500
1314,7,2.0,1314.0,2,230000
2492,10,3.0,2492.0,2,552000
2200,8,3.0,2200.0,2,382500
1884,9,2.0,1884.0,2,320000
1456,9,2.0,1451.0,2,248500
1712,8,3.0,1712.0,2,286500
1324,8,2.0,1324.0,2,254000
1405,7,2.0,1405.0,2,173000
1626,7,2.0,764.0,2,173000
1456,7,2.0,728.0,2,184000
1490,6,2.0,745.0,2,167800
1484,6,2.0,742.0,2,174000
1560,6,2.0,684.0,2,174000
1555,7,3.0,1373.0,2,174000
1569,7,3.0,1386.0,2,175900
1555,7,2.0,1373.0,2,192500
1504,7,2.0,1346.0,2,181000
1220,7,2.0,1220.0,2,180000
1145,7,2.0,1145.0,2,160200
1432,7,2.0,716.0,2,188500
2267,6,2.0,1010.0,2,200000
1374,7,2.0,384.0,2,170000
1630,7,2.0,868.0,2,189500
1419,8,2.0,408.0,2,184100
1594,7,2.0,846.0,2,195500
1489,7,2.0,782.0,2,192000
1342,7,2.0,698.0,2,178000
1314,7,2.0,1314.0,2,207500
2256,7,2.0,952.0,2,236000
2004,8,3.0,870.0,2,257500
2054,6,2.0,992.0,2,244000
1374,7,2.0,384.0,2,167000
1800,6,2.0,982.0,2,179000
1514,6,2.0,794.0,2,190000
1430,7,2.0,384.0,2,156000
2312,7,3.0,1177.0,2,245000
1675,6,2.0,841.0,2,181000
2060,7,2.0,992.0,2,214000
1430,7,2.0,384.0,2,168000
2365,8,3.0,1252.0,2,337000
2794,8,3.0,1462.0,2,403000
2687,8,3.0,1455.0,2,327000
2450,8,3.0,1284.0,2,340000
2612,8,3.0,1225.0,2,336000
2344,7,3.0,1264.0,2,265000
2063,8,3.0,2024.0,2,315000
2646,7,3.0,1347.0,2,260000
2061,7,2.0,1070.0,2,260000
2232,8,2.0,1173.0,2,263550
2448,8,3.0,1629.0,2,402000
1850,7,2.0,973.0,2,248000
1468,8,3.0,1468.0,2,244600
1696,8,3.0,1696.0,2,275000
1658,8,3.0,1614.0,2,257500
1578,8,3.0,1573.0,2,287090
1702,8,3.0,1702.0,2,275500
1432,8,2.0,1422.0,2,245000
1971,7,2.0,1113.0,2,253000
2490,9,3.0,2458.0,2,468000
1852,7,2.0,900.0,2,252678
1590,8,2.0,768.0,2,210000
1218,6,2.0,1218.0,2,208300
1436,7,2.0,1436.0,2,225000
1314,8,2.0,1300.0,2,229456
1402,7,2.0,1402.0,2,229800
1530,9,3.0,1530.0,2,250000
1766,9,3.0,1766.0,2,370878
1448,8,2.0,1372.0,2,238500
2007,10,3.0,1017.0,2,310000
1795,8,3.0,900.0,2,270000
1953,8,3.0,1082.0,2,252000
1550,7,2.0,1092.0,2,241000
1836,8,2.0,1836.0,2,264500
1662,7,3.0,1652.0,2,291000
2094,7,2.0,912.0,2,263000
1221,7,2.0,1221.0,2,185000
1553,7,2.0,1553.0,2,234500
1653,7,2.0,812.0,2,209000
1218,7,2.0,1218.0,1,159000
1141,7,2.0,1141.0,1,152000
1158,6,0.0,1158.0,1,143500
1812,7,2.0,835.0,2,193000
1512,8,3.0,1512.0,2,203000
1200,7,2.0,1176.0,2,184900
1114,7,2.0,1114.0,1,159000
1114,5,0.0,1114.0,1,142000
1114,5,2.0,1114.0,2,153000
1450,7,3.0,1450.0,2,224243
2122,7,2.0,913.0,2,220000
1844,8,2.0,1844.0,2,257000
1434,7,2.0,1454.0,2,189000
1730,6,2.0,816.0,2,171500
1217,6,1.0,626.0,1,120000
1332,6,2.0,1332.0,2,145000
1540,7,2.0,754.0,2,184000
1400,6,2.0,676.0,2,162000
1882,6,2.0,0.0,2,160000
841,4,1.0,721.0,1,82000
784,6,2.0,784.0,1,76000
980,5,2.0,980.0,1,110000
980,5,2.0,980.0,1,135000
864,5,2.0,864.0,1,141000
864,5,1.0,864.0,1,122000
1020,5,1.0,1024.0,2,124100
912,5,1.0,912.0,1,129000
1144,5,1.0,864.0,1,131400
864,5,1.0,864.0,1,62383
912,5,1.0,912.0,1,123000
2014,8,3.0,2014.0,2,275000
1755,7,2.0,975.0,2,235000
3005,7,3.0,1376.0,2,280750
1224,6,2.0,612.0,2,164500
1224,6,2.0,612.0,2,173733
1726,6,2.0,1726.0,2,222000
1256,6,2.0,1145.0,1,195000
1471,6,2.0,729.0,2,172500
1512,6,2.0,756.0,2,180000
1452,7,2.0,691.0,2,156000
1739,8,2.0,970.0,2,172500
1694,8,2.0,1694.0,2,318750
1226,8,2.0,1226.0,1,211500
1740,7,2.0,1740.0,1,241600
2499,8,2.0,392.0,2,180500
1620,4,2.0,1281.0,2,150000
1556,6,2.0,727.0,1,154000
1442,6,2.0,1442.0,2,185000
1489,6,2.0,1489.0,2,185750
2090,7,2.0,1107.0,2,200000
2067,7,2.0,752.0,2,206000
1395,6,2.0,723.0,1,162000
2640,6,2.0,932.0,2,256900
1724,6,2.0,1680.0,1,197900
1336,5,2.0,1288.0,2,163000
1216,6,1.0,1216.0,1,113000
2288,7,2.0,908.0,1,230000
1334,6,2.0,1350.0,2,167900
1680,7,2.0,1650.0,2,213250
1665,8,2.0,810.0,2,227000
864,5,1.0,864.0,1,130000
1568,5,2.0,1568.0,1,143000
925,5,1.0,925.0,1,117500
2061,7,2.0,1165.0,2,168500
1320,6,2.0,1232.0,2,172500
1342,6,2.0,1372.0,2,161500
894,4,2.0,894.0,1,141500
864,5,1.0,864.0,1,118000
864,6,1.0,864.0,1,127500
1362,4,3.0,1040.0,1,140000
1728,5,2.0,1048.0,2,177625
1776,5,3.0,1584.0,2,110000
1516,6,2.0,1516.0,1,167000
1313,5,2.0,1313.0,1,153000
1292,5,2.0,1292.0,1,145100
1154,5,2.0,1154.0,1,154000
2140,5,2.0,744.0,2,177500
1445,6,2.0,1127.0,1,158000
1041,5,1.0,1041.0,1,124500
1576,6,2.0,1208.0,1,174500
960,5,1.0,960.0,1,122000
708,4,0.0,420.0,1,82500
1203,5,1.0,709.0,1,110000
1505,6,2.0,1505.0,1,149500
1691,6,2.0,1680.0,1,175000
1644,6,2.0,1416.0,1,167000
1050,5,1.0,1050.0,1,128900
1668,6,1.0,856.0,1,140000
1113,5,1.0,1113.0,1,147000
1584,5,3.0,1584.0,2,124000
1453,6,2.0,1453.0,2,187500
1394,6,2.0,1394.0,1,159000
1567,6,2.0,1562.0,2,256000
1986,7,2.0,768.0,2,205000
2142,6,1.0,896.0,2,193500
1392,6,2.0,1392.0,1,110000
1738,4,1.0,715.0,2,104900
1144,5,1.0,1169.0,1,150000
1478,6,2.0,1478.0,1,156500
1329,7,2.0,1329.0,1,176000
988,6,1.0,988.0,2,149500
1632,6,1.0,1240.0,2,139000
1215,6,1.0,1215.0,1,155000
1202,5,1.0,1202.0,1,120000
1382,5,1.0,1382.0,1,153000
1200,4,1.0,1200.0,1,144000
1382,6,2.0,1362.0,1,176000
1297,5,2.0,1297.0,1,153000
1866,5,2.0,1866.0,2,135000
1062,6,1.0,1062.0,1,131000
1319,5,1.0,608.0,1,123000
1112,5,2.0,631.0,1,126000
1005,4,2.0,1005.0,1,115000
1363,5,1.0,1008.0,1,164900
793,5,1.0,793.0,1,113000
1031,5,1.0,1031.0,1,145500
1210,5,1.0,0.0,1,102900
1699,3,2.0,978.0,2,95000
1527,7,2.0,699.0,1,152500
1200,5,1.0,1200.0,1,129900
972,6,1.0,972.0,1,132000
792,3,1.0,792.0,1,99900
1656,5,1.0,660.0,2,135000
1352,5,2.0,676.0,2,149000
1039,4,1.0,405.0,1,114000
792,5,1.0,768.0,1,109500
1078,5,1.0,1054.0,1,125000
2377,4,2.0,1313.0,2,142900
1690,7,2.0,560.0,2,156500
599,2,0.0,416.0,1,59000
1374,4,1.0,840.0,1,105000
846,5,2.0,720.0,1,106000
725,3,1.0,630.0,1,78500
2544,6,3.0,1248.0,2,190000
1380,6,1.0,1380.0,1,154000
1040,6,2.0,1040.0,1,163000
2634,5,4.0,1248.0,2,200000
951,6,2.0,951.0,1,143500
1105,6,1.0,1105.0,1,135000
1306,5,1.0,992.0,1,153000
1478,6,2.0,1478.0,2,157500
1142,6,1.0,160.0,1,113500
1268,5,1.0,832.0,1,133000
1040,3,2.0,0.0,2,92900
1133,6,2.0,795.0,1,128500
1040,4,2.0,0.0,2,90000
1904,5,1.0,1208.0,1,138000
1041,5,1.0,1041.0,1,128000
1339,5,1.0,1029.0,1,139000
732,5,1.0,732.0,1,118900
1183,5,1.0,528.0,1,138000
1148,5,1.0,1148.0,1,132500
1461,4,1.0,832.0,2,133500
1495,6,2.0,864.0,1,135000
1806,6,2.0,780.0,1,144750
941,5,2.0,941.0,1,145000
1045,6,1.0,1045.0,1,127000
894,5,1.0,894.0,1,109500
1224,6,1.0,818.0,1,115000
1230,5,2.0,440.0,1,110000
1378,6,1.0,901.0,1,128900
1944,6,2.0,972.0,2,103500
1131,5,1.0,676.0,1,66500
1306,5,2.0,240.0,1,130000
1464,5,0.0,504.0,2,129000
1558,5,2.0,690.0,1,150000
2372,5,1.0,994.0,2,107500
1701,4,0.0,600.0,2,94550
1960,5,2.0,960.0,2,124500
1389,7,1.0,651.0,1,135000
1447,5,0.0,801.0,1,103000
936,4,2.0,936.0,1,93000
1328,5,1.0,768.0,1,129500
1387,5,1.0,811.0,2,93000
861,4,2.0,861.0,1,80000
612,2,1.0,0.0,1,45000
968,3,0.0,600.0,1,37900
886,5,1.0,190.0,1,91300
792,5,1.0,624.0,1,99500
1452,4,0.0,736.0,2,113000
1510,4,2.0,677.0,2,87500
1284,5,1.0,720.0,1,110000
2138,5,2.0,849.0,2,106000
2640,7,4.0,1240.0,1,265979
2007,6,1.0,917.0,2,160000
1288,6,1.0,624.0,1,119000
1742,8,2.0,916.0,1,168000
816,4,0.0,624.0,1,58500
1482,7,2.0,650.0,1,143000
1022,5,1.0,1022.0,1,85000
1869,5,2.0,1088.0,1,124900
1480,6,1.0,972.0,1,119000
1521,6,3.0,741.0,1,146500
720,4,0.0,720.0,1,34900
797,3,0.0,245.0,1,44000
1576,5,2.0,1324.0,1,223500
1432,6,1.0,1022.0,1,149000
1548,7,2.0,952.0,2,205000
1654,5,1.0,297.0,2,137000
952,6,1.0,952.0,1,121000
1324,4,1.0,672.0,1,128000
1176,6,2.0,698.0,1,134900
1348,5,1.0,884.0,1,117000
1412,6,1.0,780.0,1,132500
1142,5,1.0,468.0,1,93000
904,6,1.0,884.0,1,119000
1301,5,2.0,1145.0,1,100000
1539,5,2.0,927.0,1,141500
1573,4,1.0,884.0,1,133000
800,2,0.0,264.0,1,60000
875,5,1.0,715.0,1,105000
995,5,1.0,960.0,1,115000
1582,5,1.0,952.0,2,150000
1072,5,5.0,1072.0,1,126500
2134,6,2.0,844.0,2,214500
2019,7,2.0,728.0,1,167500
1768,6,2.0,1048.0,2,155000
1826,7,1.0,910.0,1,155000
1944,7,1.0,672.0,2,179900
2229,6,0.0,755.0,1,104000
2128,5,0.0,1040.0,2,62500
1930,6,1.0,720.0,2,149000
1208,4,2.0,780.0,1,103000
1427,6,1.0,483.0,1,123000
1864,7,0.0,1020.0,2,97500
